id	primary	secondary	prod	note
adityas/38	DOMAIN	PAR	prod	new table missing GRANT for runtime role
adityas/ai/54	DOMAIN		-	FK existence oracle / unvalidated refs
adityas/ai/58	PREMISE	SWALLOW	-	assumed non-live turn == completed; bare done reads as success
adityas/ai/65	UNWIRED		prod	client half deferred as follow-up, never done
adityas/ai/69	UNWIRED	SWALLOW	-	metadata backstop written never read; access_days defaults 30
adityas/ai/70	DOMAIN	TESTVAC	-	reserve before gate; real gate faked in every test
adityas/ai/77	DOMAIN		-	flaky clock
adityas/ai/82	UNWIRED		-	tool documented + metered, never declared
adityas/ai/84	DUP		-	two overlay construction paths diverged
adityas/ai/91	DOMAIN		-	async generator race
adityas/ai/92	DOMAIN	SWALLOW	-	robustness gaps
adityas/ai/101	DUP	PAR	-	two consent-write paths built separately diverged; test not extended to new gated route
adityas/ai/104	SWALLOW		-	unwrap_or(MAX) "safe" narrowing hid sign bug -> crypto-shred risk
adityas/ai/107	PAR		prod	deploy paths don't sync templates
adityas/ai/109	PAR	DUP,TESTVAC	-	invariant enforced at engine only, route gate unreconciled; hand-rolled JSON drifted from typed shape
adityas/ai/110	UNWIRED	DUP	prod	Telemetry built ahead of call site, zero callers; hand-rolled narrower log instead
adityas/ai/113	DOMAIN		-	positional anchor under concurrency
adityas/ai/114	DOMAIN		-	recall list too narrow
adityas/ai/115	PAR		-	metric content-free, adjacent log line not
adityas/ai/117	DOMAIN		-	O(N^2) compaction design
adityas/ai/119	DUP		-	two split criteria (positional vs watermark) disagree
adityas/ai/124	DOMAIN		-	concurrent writer non-monotonic
adityas/ai/125	PREMISE		-	documented fail-open not honored downstream
adityas/ai/126	DOMAIN		-	partial reply only in transient state
adityas/ai/129	DOMAIN		-	stale cached value latch
adityas/ai/130	PAR		-	new backoff state; cleanup covers only old state
adityas/ai/135	PAR		-	gate as two layers not covering every entrance
adityas/ai/140	DOMAIN	TESTVAC	-	tests only cancelled after completed stream
adityas/ai/141	SWALLOW		-	cancel swallows all HTTP failures as success
adityas/ai/142	DOMAIN		-	UI state window
adityas/ai/143	DOMAIN		-	a11y cadence
adityas/ai/146	DOMAIN		-	latch conflation
adityas/ai/149	PREMISE		-	assumed Stripe event ordering / no metadata
adityas/ai/154	SWALLOW	TESTVAC	-	regex error -> false; unknown keys ignored; harness masks errors
adityas/ai/155	PAR	DUP	-	test recipe hardcoded local, eval recipe did not
adityas/ai/156	TESTVAC		-	compaction probe vacuous
adityas/ai/165	DOMAIN		-	prompt content
